Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-VPC7","FlexischoolsStack/FlexischoolsVPC/Resource","Non-Compliant","N/A","Error","The VPC does not have an associated Flow Log."
"AwsSolutions-EC23","FlexischoolsStack/RdsSecurityGroup/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","FlexischoolsStack/RdsSecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","FlexischoolsStack/RdsSecurityGroup/from FlexischoolsStackFargateSecurityGroupF728A7C5:5432","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC23","FlexischoolsStack/FargateSecurityGroup/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","FlexischoolsStack/FargateSecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","FlexischoolsStack/FargateSecurityGroup/from FlexischoolsStackFlexischoolsFargateServiceLBSecurityGroupF43E8734:80","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-SMG4","FlexischoolsStack/FlexischoolsRdsInstance/Secret/Resource","Non-Compliant","N/A","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-RDS2","FlexischoolsStack/FlexischoolsRdsInstance/Resource","Compliant","N/A","Error","The RDS instance or Aurora DB cluster does not have storage encryption enabled."
"AwsSolutions-RDS3","FlexischoolsStack/FlexischoolsRdsInstance/Resource","Compliant","N/A","Error","The non-Aurora RDS DB instance does not have multi-AZ support enabled."
"AwsSolutions-RDS10","FlexischoolsStack/FlexischoolsRdsInstance/Resource","Non-Compliant","N/A","Error","The RDS instance or Aurora DB cluster does not have deletion protection enabled."
"AwsSolutions-RDS11","FlexischoolsStack/FlexischoolsRdsInstance/Resource","Non-Compliant","N/A","Error","The RDS instance or Aurora DB cluster uses the default endpoint port."
"AwsSolutions-RDS13","FlexischoolsStack/FlexischoolsRdsInstance/Resource","Compliant","N/A","Error","The RDS instance is not configured for automated backups."
"AwsSolutions-SQS2","FlexischoolsStack/FlexischoolsQueue/Resource","Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","FlexischoolsStack/FlexischoolsQueue/Resource","Non-Compliant","N/A","Error","The SQS queue is not used as a dead-letter queue (DLQ) and does not have a DLQ enabled."
"AwsSolutions-SQS4","FlexischoolsStack/FlexischoolsQueue/Resource","Non-Compliant","N/A","Error","The SQS queue does not require requests to use SSL."
"AwsSolutions-ECS4","FlexischoolsStack/FlexischoolsCluster/Resource","Non-Compliant","N/A","Error","The ECS Cluster has CloudWatch Container Insights disabled."
"AwsSolutions-ELB2","FlexischoolsStack/FlexischoolsFargateService/LB/Resource","Non-Compliant","N/A","Error","The ELB does not have access logs enabled."
"AwsSolutions-EC23","FlexischoolsStack/FlexischoolsFargateService/LB/SecurityGroup/Resource","Non-Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","FlexischoolsStack/FlexischoolsFargateService/LB/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-IAM4","FlexischoolsStack/FlexischoolsFargateService/TaskDef/TaskRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","FlexischoolsStack/FlexischoolsFargateService/TaskDef/TaskRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","FlexischoolsStack/FlexischoolsFargateService/TaskDef/TaskRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-ECS2","FlexischoolsStack/FlexischoolsFargateService/TaskDef/Resource","Non-Compliant","N/A","Error","The ECS Task Definition includes a container definition that directly specifies environment variables."
"AwsSolutions-ECS7","FlexischoolsStack/FlexischoolsFargateService/TaskDef/Resource","Compliant","N/A","Error","One or more containers in the ECS Task Definition do not have container logging enabled."
"AwsSolutions-IAM4","FlexischoolsStack/FlexischoolsFargateService/TaskDef/ExecutionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","FlexischoolsStack/FlexischoolsFargateService/TaskDef/ExecutionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","FlexischoolsStack/FlexischoolsFargateService/TaskDef/ExecutionRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
